Time(s),Amplitude(V)
0.00000000e+00,0.000000
2.00000000e-06,0.626666
4.00000000e-06,1.243449
6.00000000e-06,1.840623
8.00000000e-06,2.408768
1.00000000e-05,2.938926
1.20000000e-05,3.422736
1.40000000e-05,3.852566
1.60000000e-05,4.221640
1.80000000e-05,4.524135
2.00000000e-05,4.755283
2.20000000e-05,4.911436
2.40000000e-05,4.990134
2.60000000e-05,4.990134
2.80000000e-05,4.911436
3.00000000e-05,4.755283
3.20000000e-05,4.524135
3.40000000e-05,4.221640
3.60000000e-05,3.852566
3.80000000e-05,3.422736
4.00000000e-05,2.938926
4.20000000e-05,2.408768
4.40000000e-05,1.840623
4.60000000e-05,1.243449
4.80000000e-05,0.626666
5.00000000e-05,0.000000
5.20000000e-05,-0.626666
5.40000000e-05,-1.243449
5.60000000e-05,-1.840623
5.80000000e-05,-2.408768
6.00000000e-05,-2.938926
6.20000000e-05,-3.422736
6.40000000e-05,-3.852566
6.60000000e-05,-4.221640
6.80000000e-05,-4.524135
7.00000000e-05,-4.755283
7.20000000e-05,-4.911436
7.40000000e-05,-4.990134
7.60000000e-05,-4.990134
7.80000000e-05,-4.911436
8.00000000e-05,-4.755283
8.20000000e-05,-4.524135
8.40000000e-05,-4.221640
8.60000000e-05,-3.852566
8.80000000e-05,-3.422736
9.00000000e-05,-2.938926
9.20000000e-05,-2.408768
9.40000000e-05,-1.840623
9.60000000e-05,-1.243449
9.80000000e-05,-0.626666
1.00000000e-04,-0.000000
